Mittari;Aika;val
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 14;13
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 14;2
Tapausten lukumäärä;Vuosi 2021 Viikko 15;1937
Testausmäärä;Vuosi 2021 Viikko 15;115672
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 15;15
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 15;14
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 15;7
Tapausten lukumäärä;Vuosi 2021 Viikko 16;1610
Testausmäärä;Vuosi 2021 Viikko 16;117562
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 16;8
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 16;15
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 16;1
Tapausten lukumäärä;Vuosi 2021 Viikko 17;1388
Testausmäärä;Vuosi 2021 Viikko 17;120533
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 17;12
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 17;6
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 17;3
Tapausten lukumäärä;Vuosi 2021 Viikko 18;1503
Testausmäärä;Vuosi 2021 Viikko 18;134375
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 18;4
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 18;11
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 18;3
Tapausten lukumäärä;Vuosi 2021 Viikko 19;1431
Testausmäärä;Vuosi 2021 Viikko 19;115792
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 19;19
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 19;5
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 19;1
Tapausten lukumäärä;Vuosi 2021 Viikko 20;1319
Testausmäärä;Vuosi 2021 Viikko 20;121021
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 20;13
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 20;10
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 20;5
Tapausten lukumäärä;Vuosi 2021 Viikko 21;890
Testausmäärä;Vuosi 2021 Viikko 21;122759
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 21;3
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 21;12
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 21;4
Tapausten lukumäärä;Vuosi 2021 Viikko 22;726
Testausmäärä;Vuosi 2021 Viikko 22;111901
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 22;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 22;4
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 22;1
Tapausten lukumäärä;Vuosi 2021 Viikko 23;559
Testausmäärä;Vuosi 2021 Viikko 23;99751
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 23;3
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 23;5
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 23;0
Tapausten lukumäärä;Vuosi 2021 Viikko 24;543
Testausmäärä;Vuosi 2021 Viikko 24;95330
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 24;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 24;3
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 24;0
Tapausten lukumäärä;Vuosi 2021 Viikko 25;971
Testausmäärä;Vuosi 2021 Viikko 25;70248
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 25;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 25;2
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 25;1
Tapausten lukumäärä;Vuosi 2021 Viikko 26;1293
Testausmäärä;Vuosi 2021 Viikko 26;100468
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 26;0
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 26;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 26;0
Tapausten lukumäärä;Vuosi 2021 Viikko 27;1696
Testausmäärä;Vuosi 2021 Viikko 27;97366
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 27;4
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 27;3
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 27;0
Tapausten lukumäärä;Vuosi 2021 Viikko 28;2240
Testausmäärä;Vuosi 2021 Viikko 28;99612
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 28;3
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 28;0
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 28;3
Tapausten lukumäärä;Vuosi 2021 Viikko 29;2924
Testausmäärä;Vuosi 2021 Viikko 29;120721
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 29;6
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 29;3
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 29;0
Tapausten lukumäärä;Vuosi 2021 Viikko 30;4657
Testausmäärä;Vuosi 2021 Viikko 30;125165
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 30;9
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 30;4
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 30;0
Tapausten lukumäärä;Vuosi 2021 Viikko 31;5097
Testausmäärä;Vuosi 2021 Viikko 31;141702
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 31;17
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 31;11
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 31;0
Tapausten lukumäärä;Vuosi 2021 Viikko 32;5186
Testausmäärä;Vuosi 2021 Viikko 32;146275
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 32;8
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 32;10
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 32;2
Tapausten lukumäärä;Vuosi 2021 Viikko 33;4390
Testausmäärä;Vuosi 2021 Viikko 33;163609
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 33;9
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 33;4
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 33;1
Tapausten lukumäärä;Vuosi 2021 Viikko 34;4210
Testausmäärä;Vuosi 2021 Viikko 34;180773
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 34;11
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 34;8
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 34;1
Tapausten lukumäärä;Vuosi 2021 Viikko 35;3892
Testausmäärä;Vuosi 2021 Viikko 35;176345
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 35;12
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 35;10
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 35;2
Tapausten lukumäärä;Vuosi 2021 Viikko 36;3149
Testausmäärä;Vuosi 2021 Viikko 36;136187
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 36;18
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 36;11
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 36;0
Tapausten lukumäärä;Vuosi 2021 Viikko 37;2817
Testausmäärä;Vuosi 2021 Viikko 37;99157
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 37;11
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 37;11
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 37;3
Tapausten lukumäärä;Vuosi 2021 Viikko 38;3026
Testausmäärä;Vuosi 2021 Viikko 38;88029
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 38;15
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 38;13
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 38;3
Tapausten lukumäärä;Vuosi 2021 Viikko 39;3932
Testausmäärä;Vuosi 2021 Viikko 39;80325
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 39;27
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 39;11
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 39;2
Tapausten lukumäärä;Vuosi 2021 Viikko 40;4268
Testausmäärä;Vuosi 2021 Viikko 40;81657
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 40;33
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 40;17
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 40;4
Tapausten lukumäärä;Vuosi 2021 Viikko 41;3732
Testausmäärä;Vuosi 2021 Viikko 41;83130
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 41;22
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 41;21
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 41;4
Tapausten lukumäärä;Vuosi 2021 Viikko 42;3696
Testausmäärä;Vuosi 2021 Viikko 42;77595
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 42;25
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 42;21
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 42;5
Tapausten lukumäärä;Vuosi 2021 Viikko 43;4246
Testausmäärä;Vuosi 2021 Viikko 43;80829
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 43;37
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 43;24
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 43;1
Tapausten lukumäärä;Vuosi 2021 Viikko 44;5163
Testausmäärä;Vuosi 2021 Viikko 44;87993
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 44;54
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 44;23
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 44;5
Tapausten lukumäärä;Vuosi 2021 Viikko 45;5995
Testausmäärä;Vuosi 2021 Viikko 45;102484
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 45;45
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 45;34
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 45;3
Tapausten lukumäärä;Vuosi 2021 Viikko 46;7498
Testausmäärä;Vuosi 2021 Viikko 46;118508
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 46;55
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 46;43
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 46;4
Tapausten lukumäärä;Vuosi 2021 Viikko 47;8183
Testausmäärä;Vuosi 2021 Viikko 47;132055
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 47;59
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 47;48
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 47;12
Tapausten lukumäärä;Vuosi 2021 Viikko 48;9539
Testausmäärä;Vuosi 2021 Viikko 48;155814
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 48;57
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 48;47
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 48;10
Tapausten lukumäärä;Vuosi 2021 Viikko 49;10633
Testausmäärä;Vuosi 2021 Viikko 49;154620
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 49;44
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 49;39
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 49;8
Tapausten lukumäärä;Vuosi 2021 Viikko 50;13826
Testausmäärä;Vuosi 2021 Viikko 50;173821
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 50;44
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 50;34
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 50;11
Tapausten lukumäärä;Vuosi 2021 Viikko 51;21902
Testausmäärä;Vuosi 2021 Viikko 51;169527
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 51;52
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 51;37
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 51;5
Tapausten lukumäärä;Vuosi 2021 Viikko 52;44032
Testausmäärä;Vuosi 2021 Viikko 52;172451
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2021 Viikko 52;106
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 52;46
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2021 Viikko 52;13
Tapausten lukumäärä;Vuosi 2022 Viikko 01;58974
Testausmäärä;Vuosi 2022 Viikko 01;201119
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 01;125
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 01;62
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 01;12
Tapausten lukumäärä;Vuosi 2022 Viikko 02;59996
Testausmäärä;Vuosi 2022 Viikko 02;194409
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 02;140
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 02;72
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 02;20
Tapausten lukumäärä;Vuosi 2022 Viikko 03;56329
Testausmäärä;Vuosi 2022 Viikko 03;176609
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 03;112
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 03;104
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 03;30
Tapausten lukumäärä;Vuosi 2022 Viikko 04;47750
Testausmäärä;Vuosi 2022 Viikko 04;145492
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 04;124
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 04;69
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 04;23
Tapausten lukumäärä;Vuosi 2022 Viikko 05;44305
Testausmäärä;Vuosi 2022 Viikko 05;126738
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 05;147
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 05;79
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 05;28
Tapausten lukumäärä;Vuosi 2022 Viikko 06;45431
Testausmäärä;Vuosi 2022 Viikko 06;124211
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 06;115
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 06;74
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 06;25
Tapausten lukumäärä;Vuosi 2022 Viikko 07;44986
Testausmäärä;Vuosi 2022 Viikko 07;117638
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 07;141
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 07;71
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 07;24
Tapausten lukumäärä;Vuosi 2022 Viikko 08;44591
Testausmäärä;Vuosi 2022 Viikko 08;107332
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 08;147
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 08;67
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 08;35
Tapausten lukumäärä;Vuosi 2022 Viikko 09;44268
Testausmäärä;Vuosi 2022 Viikko 09;99411
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 09;173
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 09;87
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 09;44
Tapausten lukumäärä;Vuosi 2022 Viikko 10;51479
Testausmäärä;Vuosi 2022 Viikko 10;106464
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 10;194
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 10;92
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 10;34
Tapausten lukumäärä;Vuosi 2022 Viikko 11;53895
Testausmäärä;Vuosi 2022 Viikko 11;109377
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 11;218
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 11;98
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 11;55
Tapausten lukumäärä;Vuosi 2022 Viikko 12;53563
Testausmäärä;Vuosi 2022 Viikko 12;108376
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 12;253
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 12;91
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 12;42
Tapausten lukumäärä;Vuosi 2022 Viikko 13;44471
Testausmäärä;Vuosi 2022 Viikko 13;96603
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 13;198
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 13;132
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 13;74
Tapausten lukumäärä;Vuosi 2022 Viikko 14;37942
Testausmäärä;Vuosi 2022 Viikko 14;83404
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 14;217
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 14;116
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 14;68
Tapausten lukumäärä;Vuosi 2022 Viikko 15;29376
Testausmäärä;Vuosi 2022 Viikko 15;66254
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 15;193
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 15;103
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 15;55
Tapausten lukumäärä;Vuosi 2022 Viikko 16;26697
Testausmäärä;Vuosi 2022 Viikko 16;63587
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 16;137
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 16;107
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 16;57
Tapausten lukumäärä;Vuosi 2022 Viikko 17;19141
Testausmäärä;Vuosi 2022 Viikko 17;55117
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 17;127
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 17;108
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 17;38
Tapausten lukumäärä;Vuosi 2022 Viikko 18;17602
Testausmäärä;Vuosi 2022 Viikko 18;55816
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 18;77
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 18;82
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 18;42
Tapausten lukumäärä;Vuosi 2022 Viikko 19;14378
Testausmäärä;Vuosi 2022 Viikko 19;48659
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 19;83
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 19;45
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 19;38
Tapausten lukumäärä;Vuosi 2022 Viikko 20;11392
Testausmäärä;Vuosi 2022 Viikko 20;39364
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 20;84
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 20;49
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 20;41
Tapausten lukumäärä;Vuosi 2022 Viikko 21;10736
Testausmäärä;Vuosi 2022 Viikko 21;32989
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 21;62
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 21;42
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 21;28
Tapausten lukumäärä;Vuosi 2022 Viikko 22;10856
Testausmäärä;Vuosi 2022 Viikko 22;34778
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 22;47
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 22;33
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 22;21
Tapausten lukumäärä;Vuosi 2022 Viikko 23;10457
Testausmäärä;Vuosi 2022 Viikko 23;33220
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 23;60
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 23;26
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 23;17
Tapausten lukumäärä;Vuosi 2022 Viikko 24;10577
Testausmäärä;Vuosi 2022 Viikko 24;30416
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2022 Viikko 24;59
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2022 Viikko 24;30
